cluster,cen_x_loc,cen_y_loc,demand
0,104510.8075,130077.29283333334,3560
1,160290.80333333334,25154.659583333327,3766
2,48458.07225,67443.495,3096
3,162042.3541666667,115362.19875,3752
4,78355.5665625,198419.39625,2227
5,4219.952999999994,155925.529,3076
6,164057.75374999997,189364.40791666665,1974
7,40101.233636363635,10994.163863636364,3504
8,116913.62328125001,78533.6446875,4484
9,88899.106,5187.009999999995,1866
10,66148.40464285715,135138.36,2199
11,42453.35538461537,97614.24269230769,3508
12,49883.037749999996,160650.60775,2718
13,155726.3,156278.27875,1684
14,118414.45071428572,164868.39535714284,2149
15,27062.639750000002,48390.9835,2704
16,177540.57374999998,75340.432,3420
17,21350.856607142865,100954.36678571429,4170
18,79348.21458333333,49392.995416666665,2088
19,148150.85704545456,80434.26477272727,3046
20,187743.31772727275,36082.38590909091,2903
21,114240.37525000001,19091.25324999998,2583
22,181081.24833333335,161947.00555555554,2373
23,83774.66035714286,160176.32214285713,1974
24,12358.706666666665,188941.18104166666,3435
25,180055.3140625,107488.78859375,4638
26,97260.785,77325.3265909091,2901
27,130284.58632352941,128789.67544117647,4833
28,11417.742499999993,131017.41727272728,2392
29,122708.23025000001,187211.60175,3359
30,37601.27857142857,141574.15035714285,1668
31,15713.110972222232,60709.167638888895,4631
32,108486.86050000001,34543.962499999994,2753
33,88391.55611111112,113973.14833333333,2109
34,118238.20406250001,98938.9984375,2680
35,10099.292187500003,3565.467499999999,2765
36,65750.453,23572.367499999993,1971
37,172974.6622222222,14375.82194444444,2539
38,171102.52386363636,58414.00113636364,3673
39,148949.5840909091,19401.467954545442,3342
40,43150.77884615384,196744.0205769231,3847
41,182852.15357142856,136792.91464285715,2160
42,62566.925555555565,95437.995,2313
43,136051.77694444446,52184.893055555556,2266
44,187493.83925000002,181346.08925000002,3216
45,58503.65477272728,52604.98181818182,3123
46,81976.4153125,191854.3771875,2654
47,6352.9175000000105,33933.85821428572,2447
48,31976.657884615386,167065.05653846153,3977
49,133020.1785,165318.23125,3435
50,145988.556,188160.10975,2489
51,158127.89678571429,82567.9992857143,2420
52,151758.65600000002,133816.779,3290
53,45902.6915,120011.0125,2962
54,113300.71522727273,62022.82886363636,3793
55,71618.15767857143,71111.81696428571,4152
56,28065.596124999982,25981.56624999999,5897
57,29899.897291666668,66657.79375000001,3426
58,104369.37775,88763.40475,1926
59,68289.78272727273,153780.71159090908,2927
60,155957.6197222222,45374.76055555556,2978
61,18523.88307692307,124242.81923076924,4022
62,197738.63464285713,56339.71071428572,1874
63,133095.2009375,4423.5199999999895,2590
64,14743.12781250001,84879.8221875,1433
65,90672.949375,25907.18166666667,3589
66,140970.28025,28731.61675,2599
67,195064.63214285712,103180.105,2194
68,179958.75833333333,23028.582916666666,4107
69,126505.02900000001,142634.0635,3292
70,36636.28520833334,176073.23895833333,3971
71,48705.74142857144,38933.99821428572,4568
72,11814.753611111111,100706.61972222223,2464
73,58351.659499999994,170633.31975,3228
74,42302.32826923078,83778.50365384616,2827
75,114849.291,155186.5545,3308
76,105019.4596875,107572.0384375,2440
77,67984.2034375,178109.90375,1682
78,102387.57194444444,194603.44333333333,2897
79,112073.110625,2344.6387499999983,2925
80,104791.75944444444,184484.12333333335,5794
81,175662.634,97767.6275,3543
82,22412.408249999993,141270.41075,3216
83,73989.71783333334,11679.678,3754
84,136259.64974999998,94883.09475,3021
85,129984.36083333332,77995.7825,3237
86,190937.88416666666,15295.658166666675,3920
87,160983.79305555555,127043.58944444444,2631
88,32498.2278125,189130.30812499998,2064
89,76608.345,105708.67666666667,1620
90,94082.208,172371.164,2504
91,154374.81833333333,5219.046875,3286
92,95693.65133333333,134664.1035,4383
93,60565.8196875,3145.8384375000023,2871
94,195511.69673076924,194336.62576923077,4383
95,191633.80109375,75926.54390625001,4876
96,146593.8519642857,142743.85267857142,4196
97,150025.0655,61614.2515,1373
98,157907.3,166035.54349999997,3039
99,168813.8185,167479.3965,3053
100,62008.793333333335,186141.43916666665,1599
101,184897.1822222222,152471.7422222222,2542
102,191764.49225,124667.98975000001,3034
103,11404.614807692313,160156.00076923077,3650
104,140647.67977272728,159533.9375,3517
105,5017.065000000002,45669.8040625,2106
106,182791.88535714286,52087.4475,2517
107,106940.59229166666,45990.57145833334,3567
108,96906.6075,145236.7453125,1861
109,52906.20916666667,99605.06666666667,3614
110,30465.063928571442,119621.76428571428,1844
111,142394.13953125,173328.315625,4368
112,2207.056249999994,10140.290000000008,1671
113,85021.22888888889,88439.04138888889,3050
114,7767.0416666666715,139631.9895833333,3224
115,129978.14111111111,66463.72805555556,2108
116,4359.222692307681,84194.97038461539,3646
117,81144.37096153846,63501.587499999994,3685
118,116072.21675,110431.8015,3032
119,116826.50825,176549.1145,2391
120,130009.33714285714,114679.67571428571,1554
121,17266.999166666676,171881.65277777778,2858
122,60082.402500000004,138694.17142857143,1743
