index,loctype,y_loc,x_loc,demand,capacity,setup_cost,cluster,cen_x_loc,cen_y_loc,centroid_dist
0,Facility,153388.105,39196.895,0,4463,55955.9783,142,33225.47499999999,156669.5235,6813.63076403046
5,Customer,158977.765,30581.7275,342,0,0.0,142,33225.47499999999,156669.5235,3509.612466651905
1773,Customer,159751.525,32639.725,410,0,0.0,142,33225.47499999999,156669.5235,3137.170111502107
2260,Customer,156364.2175,33282.8,410,0,0.0,142,33225.47499999999,156669.5235,310.6411261584794
2802,Customer,154866.005,30426.2275,330,0,0.0,142,33225.47499999999,156669.5235,3329.9347660424924
1,Facility,123003.6225,174572.9525,0,2976,40727.5046,172,174401.10275000002,127571.49725,4571.10621931526
327,Facility,123381.42,173517.07,0,3916,41126.2989,172,174401.10275000002,127571.49725,4282.319612551142
9,Customer,127835.66,172785.0375,209,0,0.0,172,174401.10275000002,127571.49725,1637.5130078094564
284,Customer,128298.55,171116.545,319,0,0.0,172,174401.10275000002,127571.49725,3364.063809497031
547,Customer,132069.665,171325.335,442,0,0.0,172,174401.10275000002,127571.49725,5449.207314745913
1104,Customer,127663.355,171215.0175,394,0,0.0,172,174401.10275000002,127571.49725,3187.4091463919144
2139,Customer,126818.8875,177983.495,370,0,0.0,172,174401.10275000002,127571.49725,3660.594988339321
2332,Customer,130039.01,177520.7925,375,0,0.0,172,174401.10275000002,127571.49725,3977.572539585864
2412,Customer,126848.98,178471.3275,306,0,0.0,172,174401.10275000002,127571.49725,4133.8554270874165
2573,Customer,129755.8225,175503.455,277,0,0.0,172,174401.10275000002,127571.49725,2446.7237851599693
2,Facility,97874.165,168185.68,0,3987,52559.922,215,166809.08194444445,92526.56,5521.94725097807
64,Facility,90453.0225,165665.2025,0,5082,42925.4408,215,166809.08194444445,92526.56,2368.1254078550664
205,Facility,94228.355,168049.1825,0,5512,39125.5941,215,166809.08194444445,92526.56,2105.695991807499
825,Customer,90824.115,166521.035,383,0,0.0,215,166809.08194444445,92526.56,1726.6412540619885
1078,Customer,87528.385,167257.4575,288,0,0.0,215,166809.08194444445,92526.56,5018.2461049100375
1715,Customer,87953.24,166994.0225,332,0,0.0,215,166809.08194444445,92526.56,4577.05787941218
1951,Customer,97419.73,167109.755,426,0,0.0,215,166809.08194444445,92526.56,4902.399099954746
2127,Customer,93975.1575,164001.9125,239,0,0.0,215,166809.08194444445,92526.56,3158.8977518794095
2227,Customer,92482.87,167497.49,297,0,0.0,215,166809.08194444445,92526.56,689.7930610362511
3,Facility,52563.645,63173.4325,0,6595,59180.4282,45,58503.65477272728,52604.98181818182,4669.960680205971
264,Facility,49605.965,60187.835,0,5476,52832.8753,45,58503.65477272728,52604.98181818182,3439.5588254416903
573,Customer,49784.2825,53792.4625,214,0,0.0,45,58503.65477272728,52604.98181818182,5491.054295324037
686,Customer,54293.075,60332.79,376,0,0.0,45,58503.65477272728,52604.98181818182,2489.054894965368
782,Customer,53028.5075,56942.085,292,0,0.0,45,58503.65477272728,52604.98181818182,1617.9845976569363
1071,Customer,55464.5425,60800.9525,386,0,0.0,45,58503.65477272728,52604.98181818182,3668.0599968829424
1515,Customer,54777.0225,61749.0175,356,0,0.0,45,58503.65477272728,52604.98181818182,3905.1427573194096
1527,Customer,55736.4475,55716.3125,364,0,0.0,45,58503.65477272728,52604.98181818182,4192.297014971325
1653,Customer,51232.6675,57405.0225,367,0,0.0,45,58503.65477272728,52604.98181818182,1757.9076934141697
2614,Customer,51054.3825,54856.3025,396,0,0.0,45,58503.65477272728,52604.98181818182,3963.2735014019377
2892,Customer,51114.2625,58583.99,372,0,0.0,45,58503.65477272728,52604.98181818182,1492.8823913294161
4,Facility,3587.58,184739.25,0,5217,40291.2368,161,182603.815,7104.785208333342,4114.707172661522
291,Facility,832.4775,183195.235,0,4416,60223.4296,161,182603.815,7104.785208333342,6300.128697448794
368,Facility,10255.66,180333.6475,0,3915,52690.4794,161,182603.815,7104.785208333342,3883.512898242608
378,Facility,6200.7125,187471.985,0,3997,33569.2595,161,182603.815,7104.785208333342,4951.406528538434
24,Customer,10459.455,186907.5525,245,0,0.0,161,182603.815,7104.785208333342,5456.735826483354
371,Customer,9927.2525,181489.4475,437,0,0.0,161,182603.815,7104.785208333342,3034.4911496961654
1235,Customer,4268.5625,178884.055,398,0,0.0,161,182603.815,7104.785208333342,4677.688928185134
1256,Customer,6625.1725,183906.3675,384,0,0.0,161,182603.815,7104.785208333342,1388.0458800958525
1594,Customer,9647.78,181248.4875,295,0,0.0,161,182603.815,7104.785208333342,2881.620228742858
1980,Customer,7585.3075,181538.075,259,0,0.0,161,182603.815,7104.785208333342,1169.0609138913835
2093,Customer,7446.75,177392.82,356,0,0.0,161,182603.815,7104.785208333342,5222.203443831404
2907,Customer,8420.7125,184138.8575,272,0,0.0,161,182603.815,7104.785208333342,2021.8852869931636
5,Facility,193485.015,155838.38,0,7597,45430.4052,226,161125.91791666666,195820.42583333334,5780.328795201723
596,Customer,193550.33,162946.235,344,0,0.0,226,161125.91791666666,195820.42583333334,2909.791981635906
1027,Customer,199231.58,158729.28,389,0,0.0,226,161125.91791666666,195820.42583333334,4168.91425342037
1453,Customer,194055.46,161629.9925,334,0,0.0,226,161125.91791666666,195820.42583333334,1835.5368638076334
1905,Customer,197191.4475,166687.6475,346,0,0.0,226,161125.91791666666,195820.42583333334,5728.222793205116
2932,Customer,197408.7225,160923.9725,280,0,0.0,226,161125.91791666666,195820.42583333334,1601.0834621146696
6,Facility,143293.33,154067.05,0,4339,53872.3252,339,151512.56875,147454.57645833332,4882.760135783162
72,Facility,146343.62,152863.9725,0,4103,75020.0237,339,151512.56875,147454.57645833332,1749.4331504309002
74,Facility,149961.065,151198.31,0,4056,44599.6131,339,151512.56875,147454.57645833332,2526.1123038095375
72,Customer,143058.5575,154072.2725,430,0,0.0,339,151512.56875,147454.57645833332,5086.950557042011
246,Customer,142562.65,152981.39,410,0,0.0,339,151512.56875,147454.57645833332,5107.678566452008
451,Customer,152395.825,145655.3125,316,0,0.0,339,151512.56875,147454.57645833332,7663.118681626125
463,Customer,145408.085,152801.24,353,0,0.0,339,151512.56875,147454.57645833332,2418.4294241527505
