cluster,cen_x_loc,cen_y_loc,demand
0,140375.8155,64652.277,1972
1,78532.37527777778,137206.2675,2558
2,37723.0425,52429.548125,781
3,118550.31931818182,128524.1065909091,3526
4,134714.70666666667,157930.54166666666,2271
5,48293.1325,144588.255,1971
6,151121.3121875,10494.635624999995,1780
7,181808.352,92006.6215,1776
8,79382.49357142857,91613.54678571428,1686
9,75418.7595,8909.543999999994,2109
10,189360.28625,113485.819,3864
11,8926.471666666679,93793.64791666667,1947
12,185841.59666666668,192755.34333333332,989
13,24213.368124999994,10301.076249999998,3564
14,51704.64,82382.480625,858
15,45496.88416666667,175052.70916666667,799
16,101811.28607142858,44659.68964285714,2105
17,145145.76388888888,40277.106666666674,2708
18,18238.616249999992,44784.439062499994,2491
19,189074.2055,52698.73849999999,1562
20,179150.94857142857,153784.27071428573,2269
21,122885.35571428572,12630.681785714303,2059
22,126836.50375,98137.57225,2460
23,15135.26291666666,153199.33375,2496
24,101698.64785714286,74566.42285714285,1986
25,70320.18722222223,45916.52166666667,2406
26,84968.5878125,111190.84125,3159
27,159413.77357142855,130793.1525,1613
28,152229.495,166126.1075,1305
29,72585.23958333334,160397.52708333335,1842
30,155224.9040625,86706.6221875,3012
31,60351.99799999999,186466.6165,2299
32,125090.1875,185922.4745,1705
33,46634.58249999999,109742.9045,1201
34,165757.802,183005.3885,1692
35,33601.81583333333,71531.81958333333,1229
36,188909.22125,23429.03687499999,1836
37,112184.898125,155515.94437500002,1248
38,8327.14833333333,174872.72416666668,1204
39,38092.034,33903.83499999999,1476
