index,loctype,y_loc,x_loc,demand,capacity,setup_cost,cluster,cen_x_loc,cen_y_loc,centroid_dist
0,Facility,430582.903998,430582.903998,0,58268,7500.0,2,422243.2057836,429518.4841029,8407.351308251122
1,Facility,447095.077733,441967.566511,0,58268,7500.0,2,422243.2057836,429518.4841029,26419.444538867006
2,Facility,444706.599336,432905.8718,0,58268,7500.0,2,422243.2057836,429518.4841029,18557.243623750142
3,Facility,433986.863525,427142.671483,0,58268,7500.0,2,422243.2057836,429518.4841029,6631.0767451028305
4,Facility,439147.783561,428333.083285,0,58268,7500.0,2,422243.2057836,429518.4841029,11393.41985690964
5,Facility,442044.334989,430307.998493,0,58268,7500.0,2,422243.2057836,429518.4841029,14897.57771808568
8,Facility,440158.789247,429898.89115,0,58268,7500.0,2,422243.2057836,429518.4841029,13108.226881957436
10,Facility,438586.802905,427330.722028,0,58268,0.0,2,422243.2057836,429518.4841029,10397.943423271434
11,Facility,407682.076185,424118.342226,0,58268,7500.0,2,422243.2057836,429518.4841029,21916.7709171434
13,Facility,418931.439518,426329.771259,0,58268,7500.0,2,422243.2057836,429518.4841029,11348.37126760454
14,Facility,368646.428732,481984.149045,0,58268,7500.0,2,422243.2057836,429518.4841029,85290.01950310328
15,Facility,394292.526943,432098.903302,0,58268,7500.0,2,422243.2057836,429518.4841029,36578.721019266246
16,Facility,450113.198552,438572.694477,0,58268,7500.0,2,422243.2057836,429518.4841029,26282.96909079804
17,Facility,448932.035513,436874.502971,0,58268,7500.0,2,422243.2057836,429518.4841029,24309.686047717954
18,Facility,444153.081356,431558.339438,0,58268,7500.0,2,422243.2057836,429518.4841029,17347.7131564877
19,Facility,428053.302347,425944.670705,0,58268,7500.0,2,422243.2057836,429518.4841029,3980.9044377097375
20,Facility,408740.437421,427630.945127,0,58268,7500.0,2,422243.2057836,429518.4841029,21465.20344994749
24,Facility,447103.687854,435685.130355,0,58268,7500.0,2,422243.2057836,429518.4841029,22134.24331552601
10,Customer,459101.879327,301852.601198,5495,0,0.0,2,422243.2057836,429518.4841029,123972.07324825856
36,Customer,398310.433016,333744.356821,3671,0,0.0,2,422243.2057836,429518.4841029,93840.22975434175
6,Facility,348947.990899,434319.760208,0,58268,7500.0,0,417197.7868608367,283123.72700273467,68014.67259927194
7,Facility,236298.791087,437312.884269,0,58268,7500.0,0,417197.7868608367,283123.72700273467,50962.65070865677
9,Facility,309704.537261,468580.203206,0,58268,7500.0,0,417197.7868608367,283123.72700273467,57850.60227390553
0,Customer,279924.793498,416189.973974,146,0,0.0,0,417197.7868608367,283123.72700273467,3353.932375971238
1,Customer,279953.351993,416200.962928,87,0,0.0,0,417197.7868608367,283123.72700273467,3323.3921910340364
2,Customer,281420.913036,416235.375342,672,0,0.0,0,417197.7868608367,283123.72700273467,1955.9681328938764
3,Customer,287758.719716,416041.801381,1337,0,0.0,0,417197.7868608367,283123.72700273467,4776.971831779649
4,Customer,279952.407299,416203.112456,31,0,0.0,0,417197.7868608367,283123.72700273467,3323.6494753407665
5,Customer,280854.97338,416217.961112,559,0,0.0,0,417197.7868608367,283123.72700273467,2471.2955102041597
6,Customer,313480.956397,407844.877813,2370,0,0.0,0,417197.7868608367,283123.72700273467,31765.36296271701
7,Customer,284292.337751,415956.078122,1089,0,0.0,0,417197.7868608367,283123.72700273467,1705.1368487792547
8,Customer,279950.944713,416202.706826,33,0,0.0,0,417197.7868608367,283123.72700273467,3325.1664219681943
9,Customer,279953.320311,416203.385487,32,0,0.0,0,417197.7868608367,283123.72700273467,3322.6965981389903
11,Customer,282477.95044,416145.372162,904,0,0.0,0,417197.7868608367,283123.72700273467,1234.7485846539985
12,Customer,287343.54075,415753.19989,1466,0,0.0,0,417197.7868608367,283123.72700273467,4460.2308884093245
13,Customer,280029.518347,416205.945564,143,0,0.0,0,417197.7868608367,283123.72700273467,3249.2885934207325
14,Customer,280314.598578,416128.050052,615,0,0.0,0,417197.7868608367,283123.72700273467,3005.917388557551
15,Customer,279715.00832,416005.244245,564,0,0.0,0,417197.7868608367,283123.72700273467,3611.30460479463
16,Customer,280030.155212,416190.248294,226,0,0.0,0,417197.7868608367,283123.72700273467,3253.508934687693
17,Customer,319656.101204,404930.24619,3016,0,0.0,0,417197.7868608367,283123.72700273467,38537.08498176673
18,Customer,280052.145685,416177.919605,253,0,0.0,0,417197.7868608367,283123.72700273467,3236.4704557564855
19,Customer,279903.129895,416179.770958,195,0,0.0,0,417197.7868608367,283123.72700273467,3377.6622253827127
20,Customer,279955.326144,416203.263566,38,0,0.0,0,417197.7868608367,283123.72700273467,3320.8192642183308
21,Customer,280678.966717,416104.798995,807,0,0.0,0,417197.7868608367,283123.72700273467,2677.961039591824
22,Customer,280804.702077,416173.828443,551,0,0.0,0,417197.7868608367,283123.72700273467,2535.028096025259
23,Customer,280274.727997,416215.303062,304,0,0.0,0,417197.7868608367,283123.72700273467,3013.6472503685372
24,Customer,280906.816241,416051.672631,814,0,0.0,0,417197.7868608367,283123.72700273467,2495.650446943469
25,Customer,280331.587594,416208.796835,337,0,0.0,0,417197.7868608367,283123.72700273467,2962.1181186802523
27,Customer,280929.527847,416187.082652,577,0,0.0,0,417197.7868608367,283123.72700273467,2415.78826323563
28,Customer,280491.239857,416196.152806,482,0,0.0,0,417197.7868608367,283123.72700273467,2816.604223576118
29,Customer,280836.244976,416225.028739,495,0,0.0,0,417197.7868608367,283123.72700273467,2485.725726268603
30,Customer,280094.445899,416206.203653,231,0,0.0,0,417197.7868608367,283123.72700273467,3187.441178046709
31,Customer,280254.428039,416204.643497,322,0,0.0,0,417197.7868608367,283123.72700273467,3036.31524786569
32,Customer,281045.423457,416204.142469,685,0,0.0,0,417197.7868608367,283123.72700273467,2303.6221056505465
34,Customer,280057.581514,416179.102073,325,0,0.0,0,417197.7868608367,283123.72700273467,3230.939005158999
35,Customer,280094.540903,416161.819666,366,0,0.0,0,417197.7868608367,283123.72700273467,3201.4366237056197
37,Customer,300297.443467,414235.515804,2213,0,0.0,0,417197.7868608367,283123.72700273467,17427.323001802364
38,Customer,276838.289088,415188.053917,705,0,0.0,0,417197.7868608367,283123.72700273467,6598.920842495872
39,Customer,280393.884218,416206.142378,328,0,0.0,0,417197.7868608367,283123.72700273467,2904.3760792480807
40,Customer,286746.974892,415716.236926,1681,0,0.0,0,417197.7868608367,283123.72700273467,3914.4495751613213
41,Customer,281877.987819,415698.915544,1117,0,0.0,0,417197.7868608367,283123.72700273467,1948.9693015355285
42,Customer,279722.785725,416119.647107,275,0,0.0,0,417197.7868608367,283123.72700273467,3567.742550045124
