index,loctype,y_loc,x_loc,demand,capacity,setup_cost,cluster,cen_x_loc,cen_y_loc,centroid_dist
0,Facility,65033.169756,65033.169756,0,8000,2141200.0,20,67619.86741065,65692.12103714999,2669.3110623344346
62,Facility,67523.970903,74141.351351,0,8000,2012772.0,20,67619.86741065,65692.12103714999,6773.878262506475
63,Facility,64509.452372,63860.755378,0,8000,1939489.0,20,67619.86741065,65692.12103714999,3940.7649569013424
69,Facility,69310.933935,62710.983606,0,8000,1380954.0,20,67619.86741065,65692.12103714999,6098.602052700319
84,Facility,63809.379107,70911.090634,0,8000,2090026.0,20,67619.86741065,65692.12103714999,3791.6839901900116
85,Facility,68453.49182,62174.625982,0,8000,1483706.0,20,67619.86741065,65692.12103714999,6105.392928932906
92,Facility,65265.21975,74843.085561,0,8000,1973427.0,20,67619.86741065,65692.12103714999,7235.8223552348245
94,Facility,71102.246721,70797.354002,0,8000,1851890.0,20,67619.86741065,65692.12103714999,6274.223533893463
20,Customer,65964.282942,67884.235353,63,0,0.0,20,67619.86741065,65692.12103714999,379.423920429328
46,Customer,70134.016362,68612.789726,44,0,0.0,20,67619.86741065,65692.12103714999,4551.519394800415
181,Customer,64875.652573,63647.121277,48,0,0.0,20,67619.86741065,65692.12103714999,4055.77768071457
344,Customer,59557.190276,67457.912407,52,0,0.0,20,67619.86741065,65692.12103714999,6137.068100266744
405,Customer,65610.710237,63444.532554,77,0,0.0,20,67619.86741065,65692.12103714999,4176.128456302264
477,Customer,55227.864671,69674.300076,83,0,0.0,20,67619.86741065,65692.12103714999,10664.021515027418
490,Customer,65686.681539,66806.234775,71,0,0.0,20,67619.86741065,65692.12103714999,813.6508181860795
685,Customer,65891.387047,71618.157861,59,0,0.0,20,67619.86741065,65692.12103714999,4003.2528608672187
758,Customer,67530.086053,63946.30906,45,0,0.0,20,67619.86741065,65692.12103714999,4107.693556622606
871,Customer,62462.41225,67064.810496,58,0,0.0,20,67619.86741065,65692.12103714999,3277.0576785120256
951,Customer,69875.666149,64053.029898,44,0,0.0,20,67619.86741065,65692.12103714999,5497.670374306856
977,Customer,66018.60628,73715.49846,47,0,0.0,20,67619.86741065,65692.12103714999,6104.368149415523
1,Facility,84711.90578,83718.417816,0,8000,2107403.0,39,86974.37640973333,85985.8511445,3496.312794335911
17,Facility,88644.81735,85452.952309,0,8000,1986043.0,39,86974.37640973333,85985.8511445,3063.467410677526
18,Facility,82877.952891,86402.546821,0,8000,2155053.0,39,86974.37640973333,85985.8511445,3160.0665550996473
39,Facility,89018.941373,90384.174763,0,8000,1909519.0,39,86974.37640973333,85985.8511445,4563.590816907473
93,Facility,84310.002815,90571.180338,0,8000,1696356.0,39,86974.37640973333,85985.8511445,3968.05571053161
18,Customer,83058.968933,92937.033757,40,0,0.0,39,86974.37640973333,85985.8511445,6642.282899794942
98,Customer,86055.91699,81888.945887,33,0,0.0,39,86974.37640973333,85985.8511445,5085.913175060454
148,Customer,83900.103623,92967.374687,38,0,0.0,39,86974.37640973333,85985.8511445,6345.578860495288
206,Customer,90638.888736,88628.544549,53,0,0.0,39,86974.37640973333,85985.8511445,4938.322697118624
216,Customer,83374.560918,87222.872907,76,0,0.0,39,86974.37640973333,85985.8511445,2623.0873329281717
303,Customer,88148.248367,91906.426077,42,0,0.0,39,86974.37640973333,85985.8511445,5385.264679499131
339,Customer,82774.48486,92639.704795,49,0,0.0,39,86974.37640973333,85985.8511445,6512.205396494461
347,Customer,87334.315955,86405.67035,36,0,0.0,39,86974.37640973333,85985.8511445,1463.4834906941037
457,Customer,86477.699927,88926.335003,49,0,0.0,39,86974.37640973333,85985.8511445,2012.9723233751395
