data_type,source_index,destination_index
facility_loc,41,
facility_loc,18,
facility_loc,5,
facility_loc,47,
facility_loc,43,
facility_loc,24,
facility_loc,2,
facility_loc,10,
facility_loc,4,
facility_loc,35,
facility_loc,34,
facility_loc,17,
facility_loc,38,
facility_loc,8,
facility_loc,31,
facility_loc,42,
facility_loc,0,
facility_loc,14,
facility_loc,27,
facility_loc,16,
facility_loc,13,
facility_loc,9,
facility_loc,3,
facility_loc,23,
facility_loc,49,
facility_loc,12,
facility_loc,44,
facility_loc,25,
fac_cust_alloc,41,1.0
fac_cust_alloc,18,2.0
fac_cust_alloc,5,3.0
fac_cust_alloc,47,5.0
fac_cust_alloc,47,23.0
fac_cust_alloc,43,6.0
fac_cust_alloc,43,36.0
fac_cust_alloc,24,8.0
fac_cust_alloc,24,26.0
fac_cust_alloc,2,11.0
fac_cust_alloc,10,12.0
fac_cust_alloc,4,14.0
fac_cust_alloc,35,15.0
fac_cust_alloc,35,31.0
fac_cust_alloc,35,38.0
fac_cust_alloc,34,16.0
fac_cust_alloc,17,0.0
fac_cust_alloc,17,17.0
fac_cust_alloc,38,18.0
fac_cust_alloc,8,10.0
fac_cust_alloc,8,19.0
fac_cust_alloc,31,20.0
fac_cust_alloc,31,28.0
fac_cust_alloc,42,21.0
fac_cust_alloc,0,22.0
fac_cust_alloc,14,24.0
fac_cust_alloc,27,9.0
fac_cust_alloc,27,25.0
fac_cust_alloc,16,27.0
fac_cust_alloc,13,29.0
fac_cust_alloc,9,7.0
fac_cust_alloc,9,30.0
fac_cust_alloc,3,32.0
fac_cust_alloc,23,33.0
fac_cust_alloc,49,34.0
fac_cust_alloc,12,35.0
fac_cust_alloc,44,4.0
fac_cust_alloc,44,37.0
fac_cust_alloc,25,13.0
fac_cust_alloc,25,39.0
