data_type,source_index,destination_index
facility_loc,31,
facility_loc,340,
facility_loc,128,
facility_loc,467,
facility_loc,361,
facility_loc,77,
facility_loc,55,
facility_loc,257,
facility_loc,367,
facility_loc,289,
facility_loc,402,
facility_loc,157,
facility_loc,207,
facility_loc,416,
facility_loc,425,
facility_loc,260,
facility_loc,248,
facility_loc,341,
facility_loc,288,
facility_loc,382,
facility_loc,218,
facility_loc,240,
facility_loc,172,
facility_loc,275,
facility_loc,264,
facility_loc,13,
facility_loc,152,
facility_loc,369,
facility_loc,359,
facility_loc,293,
facility_loc,360,
facility_loc,339,
facility_loc,185,
facility_loc,16,
facility_loc,232,
facility_loc,153,
facility_loc,221,
facility_loc,235,
facility_loc,422,
facility_loc,374,
facility_loc,436,
facility_loc,450,
facility_loc,409,
facility_loc,308,
facility_loc,115,
facility_loc,455,
facility_loc,76,
facility_loc,45,
facility_loc,483,
facility_loc,130,
facility_loc,26,
facility_loc,47,
facility_loc,408,
facility_loc,440,
facility_loc,169,
facility_loc,35,
facility_loc,272,
facility_loc,333,
facility_loc,92,
facility_loc,141,
facility_loc,70,
facility_loc,239,
facility_loc,121,
facility_loc,190,
facility_loc,123,
facility_loc,424,
facility_loc,384,
facility_loc,444,
facility_loc,477,
facility_loc,470,
facility_loc,63,
facility_loc,138,
facility_loc,362,
facility_loc,11,
facility_loc,200,
facility_loc,431,
facility_loc,117,
facility_loc,142,
facility_loc,284,
facility_loc,314,
facility_loc,7,
facility_loc,198,
facility_loc,465,
facility_loc,93,
facility_loc,475,
facility_loc,395,
facility_loc,236,
facility_loc,350,
facility_loc,34,
facility_loc,283,
facility_loc,404,
facility_loc,196,
facility_loc,14,
facility_loc,215,
facility_loc,32,
facility_loc,120,
facility_loc,66,
facility_loc,327,
facility_loc,243,
facility_loc,237,
facility_loc,322,
facility_loc,448,
facility_loc,286,
facility_loc,487,
facility_loc,222,
facility_loc,150,
facility_loc,412,
facility_loc,414,
facility_loc,343,
facility_loc,418,
facility_loc,119,
facility_loc,276,
facility_loc,145,
facility_loc,381,
facility_loc,420,
facility_loc,411,
facility_loc,390,
facility_loc,226,
facility_loc,330,
facility_loc,114,
facility_loc,36,
facility_loc,184,
facility_loc,321,
facility_loc,216,
facility_loc,205,
facility_loc,388,
facility_loc,78,
facility_loc,462,
facility_loc,438,
facility_loc,394,
facility_loc,5,
facility_loc,297,
facility_loc,446,
facility_loc,433,
facility_loc,144,
facility_loc,224,
facility_loc,94,
facility_loc,48,
facility_loc,203,
facility_loc,494,
facility_loc,324,
facility_loc,346,
facility_loc,140,
facility_loc,471,
facility_loc,10,
facility_loc,219,
facility_loc,342,
facility_loc,137,
facility_loc,495,
facility_loc,320,
facility_loc,18,
facility_loc,415,
facility_loc,81,
facility_loc,61,
facility_loc,413,
facility_loc,44,
facility_loc,33,
facility_loc,469,
facility_loc,499,
facility_loc,277,
facility_loc,274,
facility_loc,217,
facility_loc,401,
facility_loc,372,
facility_loc,160,
facility_loc,231,
facility_loc,371,
facility_loc,263,
facility_loc,244,
facility_loc,57,
facility_loc,30,
facility_loc,177,
facility_loc,460,
facility_loc,155,
facility_loc,306,
facility_loc,449,
facility_loc,22,
facility_loc,498,
facility_loc,189,
facility_loc,480,
facility_loc,168,
facility_loc,282,
facility_loc,15,
facility_loc,258,
facility_loc,364,
facility_loc,482,
facility_loc,228,
facility_loc,227,
facility_loc,250,
facility_loc,397,
facility_loc,392,
facility_loc,170,
facility_loc,496,
facility_loc,265,
facility_loc,354,
facility_loc,82,
facility_loc,148,
facility_loc,400,
facility_loc,279,
facility_loc,166,
facility_loc,427,
facility_loc,147,
facility_loc,134,
facility_loc,434,
facility_loc,493,
facility_loc,432,
facility_loc,478,
facility_loc,225,
fac_cust_alloc,31,92.0
fac_cust_alloc,340,2.0
fac_cust_alloc,340,218.0
fac_cust_alloc,128,3.0
fac_cust_alloc,467,103.0
fac_cust_alloc,361,131.0
fac_cust_alloc,77,289.0
fac_cust_alloc,77,306.0
fac_cust_alloc,55,15.0
fac_cust_alloc,55,223.0
fac_cust_alloc,257,17.0
fac_cust_alloc,367,68.0
fac_cust_alloc,367,106.0
fac_cust_alloc,289,331.0
fac_cust_alloc,402,167.0
